Year,Location,Heat Wave,Dry Spell,Cold Wave,Wet Spell,Avg Min Temp °C,Yr Rain mm,Irrigation,Crop Type,Yield
1994,2,1.0,1.0,0.0,0.0,23.9,822.27,1.0,1,1450.2
1984,0,0.0,0.0,1.0,0.0,20.4,899.86,1.0,1,1326.61
1985,2,0.0,0.0,1.0,0.0,23.1,594.86,1.0,0,1028.23
2018,2,1.0,0.0,0.0,1.0,21.78,1194.61,1.0,1,1474.72
2005,1,0.0,0.0,0.0,1.0,21.78,1669.74,0.0,1,1188.97
2012,2,1.0,0.0,0.0,1.0,21.78,1094.19,1.0,1,1465.99
1988,1,0.0,0.0,0.0,0.0,21.2,1306.61,0.0,1,1196.02
2006,0,1.0,0.0,0.0,1.0,21.78,1280.8,1.0,0,972.5
1987,0,0.0,0.0,1.0,0.0,20.5,1033.19,1.0,1,1330.09
2012,0,1.0,0.0,0.0,1.0,21.78,1533.48,1.0,2,1679.84
1998,1,0.0,0.0,0.0,0.0,21.78,1448.54,0.0,0,790.44
2016,1,0.0,0.0,0.0,1.0,21.78,2042.77,0.0,0,772.05
1990,1,0.0,0.0,0.0,0.0,21.3,1363.94,0.0,0,794.86
1997,1,0.0,0.0,0.0,1.0,21.8,1706.47,0.0,0,790.33
2019,0,1.0,0.0,0.0,1.0,21.78,1570.74,1.0,0,994.37
1983,0,0.0,0.0,1.0,0.0,19.9,865.64,1.0,0,904.28
1991,2,0.0,0.0,0.0,0.0,23.4,705.33,1.0,1,1436.48
1988,0,0.0,0.0,0.0,0.0,20.3,944.36,1.0,0,924.09
2003,2,1.0,1.0,0.0,0.0,21.78,863.54,1.0,1,1451.05
1989,0,0.0,0.0,1.0,0.0,20.5,970.77,1.0,2,1631.6
2012,1,0.0,0.0,0.0,1.0,21.78,1782.68,0.0,2,1478.56
2008,1,0.0,0.0,0.0,1.0,21.78,1842.64,0.0,1,1184.65
1981,1,0.0,0.0,0.0,0.0,20.9,1284.13,0.0,1,1197.4
2010,2,1.0,0.0,0.0,1.0,21.78,1024.75,1.0,0,1065.04
2002,2,1.0,0.0,0.0,1.0,21.78,909.31,1.0,1,1461.93
1993,2,0.0,0.0,0.0,0.0,23.9,831.17,1.0,1,1449.81
1996,2,0.0,1.0,0.0,0.0,24.0,780.96,1.0,2,1752.07
1991,0,0.0,0.0,0.0,0.0,20.7,1139.14,1.0,1,1340.09
1985,1,0.0,0.0,0.0,0.0,21.1,1458.33,0.0,0,796.39
2002,0,0.0,0.0,0.0,1.0,21.78,1310.96,1.0,0,953.94
1991,1,0.0,0.0,0.0,0.0,21.6,1582.75,0.0,2,1492.52
2017,2,1.0,0.0,0.0,1.0,21.78,1150.4,1.0,2,1772.61
1982,2,0.0,0.0,1.0,0.0,23.1,576.64,1.0,2,1729.09
1994,1,0.0,0.0,0.0,0.0,21.9,1542.95,0.0,0,789.49
2004,1,0.0,0.0,0.0,1.0,21.78,1776.62,0.0,0,786.32
2002,1,0.0,1.0,0.0,0.0,21.78,1379.01,0.0,1,1186.93
2007,2,1.0,0.0,0.0,1.0,21.78,1028.29,1.0,2,1761.07
1989,1,0.0,0.0,0.0,0.0,21.5,1430.19,0.0,2,1493.52
1986,0,0.0,0.0,1.0,0.0,20.1,882.57,1.0,1,1314.0
2011,0,1.0,0.0,0.0,1.0,21.78,1563.53,1.0,2,1693.9
2013,2,1.0,0.0,0.0,1.0,21.78,1105.08,1.0,0,1066.84
1982,1,0.0,0.0,0.0,0.0,20.9,1288.6,0.0,1,1197.75
1984,2,0.0,0.0,1.0,0.0,23.2,621.71,1.0,1,1430.56
2008,2,1.0,0.0,0.0,1.0,21.78,913.88,1.0,2,1762.15
1981,0,0.0,0.0,1.0,0.0,20.1,789.53,1.0,2,1612.48
1985,0,0.0,0.0,1.0,0.0,20.5,1085.57,1.0,1,1330.23
1992,0,0.0,0.0,0.0,0.0,20.9,1190.53,1.0,0,947.88
2019,1,0.0,0.0,0.0,1.0,21.78,1904.86,0.0,0,768.5
1982,0,0.0,0.0,1.0,0.0,20.3,744.91,1.0,0,923.78
2005,2,1.0,0.0,0.0,1.0,21.78,1050.0,1.0,1,1458.21
2017,0,1.0,0.0,0.0,1.0,21.78,1443.46,1.0,2,1698.06
2011,1,0.0,0.0,0.0,1.0,21.78,1851.33,0.0,2,1480.19
1998,0,0.0,0.0,0.0,0.0,21.78,1209.48,1.0,0,959.39
1996,1,0.0,0.0,0.0,0.0,21.8,1561.34,0.0,1,1190.46
2006,1,0.0,0.0,0.0,1.0,21.78,1872.93,0.0,2,1485.96
1995,1,0.0,0.0,0.0,0.0,21.5,1558.98,0.0,2,1493.1
2007,0,1.0,0.0,0.0,1.0,21.78,1444.12,1.0,0,975.83
2000,2,0.0,0.0,0.0,1.0,21.78,952.52,1.0,0,1047.18
2018,1,0.0,0.0,0.0,1.0,21.78,1842.32,0.0,1,1180.34
2006,2,1.0,0.0,0.0,1.0,21.78,973.86,1.0,0,1061.09
2011,2,1.0,0.0,0.0,1.0,21.78,1129.73,1.0,2,1765.22
1993,0,0.0,0.0,0.0,0.0,20.8,1103.48,1.0,1,1345.17
1999,1,0.0,0.0,0.0,1.0,21.78,1589.79,0.0,0,791.39
1996,0,0.0,0.0,0.0,0.0,21.0,1128.26,1.0,1,1353.17
2013,0,1.0,0.0,0.0,1.0,21.78,1450.26,1.0,1,1386.75
1999,2,0.0,0.0,0.0,1.0,21.78,900.54,1.0,0,1045.95
2005,0,1.0,0.0,0.0,1.0,21.78,1286.71,1.0,1,1365.0
1990,0,0.0,0.0,1.0,0.0,20.5,924.72,1.0,2,1632.73
2017,1,0.0,0.0,0.0,1.0,21.78,1761.59,0.0,0,772.43
1999,0,1.0,1.0,0.0,0.0,21.78,1118.52,1.0,2,1667.22
2001,1,0.0,0.0,0.0,1.0,21.78,1657.42,0.0,0,786.93
2015,2,1.0,0.0,0.0,1.0,21.78,1082.65,1.0,2,1774.11
1992,1,0.0,0.0,0.0,0.0,21.6,1316.94,0.0,0,792.72
1989,2,0.0,0.0,1.0,0.0,23.6,726.65,1.0,0,1040.88
2018,0,1.0,0.0,0.0,1.0,21.78,1695.8,1.0,1,1388.0
1980,2,0.0,0.0,1.0,0.0,23.4,794.0,1.0,2,1737.23
1997,2,0.0,0.0,0.0,0.0,23.9,858.08,1.0,0,1049.17
1987,1,0.0,0.0,0.0,0.0,21.5,1456.95,0.0,0,793.0
1980,1,0.0,0.0,0.0,0.0,20.7,1089.66,0.0,2,1498.37
1987,2,0.0,0.0,1.0,0.0,23.1,693.69,1.0,1,1426.64
2014,1,0.0,0.0,0.0,1.0,21.78,2067.68,0.0,0,784.93
2013,1,0.0,0.0,0.0,1.0,21.78,1845.09,0.0,1,1180.52
2009,2,1.0,0.0,0.0,1.0,21.78,1076.79,1.0,1,1459.78
2016,0,1.0,0.0,0.0,1.0,21.78,1471.54,1.0,1,1407.36
2004,0,1.0,0.0,0.0,1.0,21.78,1362.0,1.0,1,1363.3
2008,0,1.0,0.0,0.0,1.0,21.78,1434.63,1.0,0,969.27
2007,1,0.0,0.0,0.0,1.0,21.78,1695.36,0.0,2,1487.5
2019,2,1.0,0.0,0.0,1.0,21.78,1166.17,1.0,2,1771.76
1986,2,0.0,0.0,1.0,0.0,23.3,636.54,1.0,0,1033.31
2000,1,0.0,0.0,0.0,1.0,21.78,1616.63,0.0,0,779.79
2003,1,0.0,1.0,0.0,0.0,21.78,1557.41,0.0,2,1484.66
2015,1,0.0,0.0,0.0,1.0,21.78,2010.63,0.0,1,1182.52
1984,1,0.0,0.0,0.0,0.0,21.4,1270.93,0.0,2,1494.45
2010,0,1.0,0.0,0.0,1.0,21.78,1419.4,1.0,0,987.7
1997,0,0.0,0.0,0.0,1.0,21.0,1211.31,1.0,2,1651.88
2014,2,1.0,0.0,0.0,1.0,21.78,1172.69,1.0,0,1071.36
