Year,Location,Heat Wave,Dry Spell,Cold Wave,Wet Spell,Avg Min Temp °C,Yr Rain mm,Irrigation,Crop Type,Crop Damage,Yield
1980,0,0.0,0.0,1.0,0.0,19.9,880.31,1.0,0,1.0,902.41
1980,2,0.0,0.0,1.0,0.0,23.4,794.0,1.0,2,1.0,1737.23
1980,1,0.0,0.0,0.0,0.0,20.7,1089.66,0.0,2,0.0,1498.37
1981,0,0.0,0.0,1.0,0.0,20.1,789.53,1.0,2,1.0,1612.48
1981,2,0.0,0.0,1.0,0.0,22.9,682.08,1.0,1,1.0,1422.37
1981,1,0.0,0.0,0.0,0.0,20.9,1284.13,0.0,1,0.0,1197.4
1982,0,0.0,0.0,1.0,0.0,20.3,744.91,1.0,0,1.0,923.78
1982,2,0.0,0.0,1.0,0.0,23.1,576.64,1.0,2,1.0,1729.09
1982,1,0.0,0.0,0.0,0.0,20.9,1288.6,0.0,1,0.0,1197.75
1983,0,0.0,0.0,1.0,0.0,19.9,865.64,1.0,0,1.0,904.28
1983,2,0.0,0.0,1.0,0.0,23.1,591.98,1.0,1,1.0,1427.35
1983,1,0.0,0.0,0.0,0.0,20.8,1372.76,0.0,1,0.0,1198.21
1984,0,0.0,0.0,1.0,0.0,20.4,899.86,1.0,1,1.0,1326.61
1984,2,0.0,0.0,1.0,0.0,23.2,621.71,1.0,1,1.0,1430.56
1984,1,0.0,0.0,0.0,0.0,21.4,1270.93,0.0,2,0.0,1494.45
1985,2,0.0,0.0,1.0,0.0,23.1,594.86,1.0,0,1.0,1028.23
1985,1,0.0,0.0,0.0,0.0,21.1,1458.33,0.0,0,0.0,796.39
1985,0,0.0,0.0,1.0,0.0,20.5,1085.57,1.0,1,1.0,1330.23
1986,1,0.0,0.0,0.0,0.0,21.3,1306.62,0.0,1,0.0,1195.17
1986,0,0.0,0.0,1.0,0.0,20.1,882.57,1.0,1,1.0,1314.0
1986,2,0.0,0.0,1.0,0.0,23.3,636.54,1.0,0,1.0,1033.31
1987,1,0.0,0.0,0.0,0.0,21.5,1456.95,0.0,0,0.0,793.0
1987,0,0.0,0.0,1.0,0.0,20.5,1033.19,1.0,1,1.0,1330.09
1987,2,0.0,0.0,1.0,0.0,23.1,693.69,1.0,1,1.0,1426.64
1988,1,0.0,0.0,0.0,0.0,21.2,1306.61,0.0,1,0.0,1196.02
1988,0,0.0,0.0,0.0,0.0,20.3,944.36,1.0,0,0.0,924.09
1988,2,0.0,0.0,1.0,0.0,23.3,789.05,1.0,2,1.0,1733.25
1989,1,0.0,0.0,0.0,0.0,21.5,1430.19,0.0,2,0.0,1493.52
1989,0,0.0,0.0,1.0,0.0,20.5,970.77,1.0,2,1.0,1631.6
1989,2,0.0,0.0,1.0,0.0,23.6,726.65,1.0,0,1.0,1040.88
1990,1,0.0,0.0,0.0,0.0,21.3,1363.94,0.0,0,0.0,794.86
1990,2,0.0,0.0,1.0,0.0,23.6,773.86,1.0,2,1.0,1741.87
1990,0,0.0,0.0,1.0,0.0,20.5,924.72,1.0,2,1.0,1632.73
1991,2,0.0,0.0,0.0,0.0,23.4,705.33,1.0,1,0.0,1436.48
1991,1,0.0,0.0,0.0,0.0,21.6,1582.75,0.0,2,0.0,1492.52
